Track Name ; Popularity
Dilbara ; 60
Tera Hone Laga Hoon ; 77
Tum Se Hi ; 78
Zara Zara ; 63
You Are My Soniya ; 62
Aahista Aahista ; 60
Haule Haule ; 70
Kaise Mujhe ; 64
Tum Mile ; 69
Guzarish ; 65
Mar Jawaan ; 63
Kya Mujhe Pyar Hai ; 66
Mitwa ; 69
My Dil Goes Mmmm ; 62
Saathiya ; 65
Tumhe Jo Maine Dekha ; 65
Aankhein Khuli ; 66
Zara Sa ; 73
Salaam-E-Ishq ; 59
Falak Tak ; 68
Surili Akhiyon Wale ; 69
Main Yahaan Hoon ; 69
Bol Na Halke Halke ; 69
Chand Sifarish ; 73
Ay Hairathe ; 58
Labon Ko ; 70
Aadat ; 64
Main Agar Kahoon ; 69
Is This Love ; 63
Mujhko Yaad Sataye Teri ; 61
Aao Naa ; 59
Beete Lamhein ; 66
Tumhi Dekho Naa ; 60
Dil Kya Kare ; 59
Shukran Allah ; 66
Tere Bina ; 69
Dooriyan ; 66
Tujh Mein Rab Dikhta Hai ; 72
Khuda Jaane ; 73
Tu Hi Meri Shab Hai ; 65
Suraj Hua Maddham ; 61
Woh Ladki Hai Kahan ; 64
Jaadu Hai Nasha ; 51
Raat Ka Nasha ; 52
Aaoge Jab Tum ; 65
Maula Mere Maula ; 68
Woh Lamhe Woh Baatein ; 68
Ishq Hua ; 57
Hum Tum ; 62
Ajab Si ; 71
Ek Din Teri Raahon ; 68
Pehli Nazar Mein ; 72
Kuch To Hua Hai ; 56
Humko Humise Chura Lo ; 60
Tu Meri Dost Hain ; 60
Dilko Tumse Pyar Hua ; 56
Jashn-E-Bahaaraa ; 71
Tere Naina ; 62
Maahi ; 65
Toh Phir Aao ; 61
Mere Haath Mein ; 66
Tere Liye ; 64
Iktara (From "Wake Up Sid") ; 72
Kuchh Khaas ; 62
Pal Pal Har Pal ; 58
Javeda Zindagi-Tose Naina Lage ; 51
Na Tum Jano Na Hum ; 59
Bakhuda Tumhi Ho ; 65
Kahin To ; 61
Dil Ne Yeh Kaha Hain Dil Se ; 59
Jab Se Tere Naina ; 67
Ek Nazar Mein Bhi ; 50
Sau Dard ; 57
Chupke Se ; 56
Agar Tum Mil Jao ; 60
Khabar Nahi ; 56
Achchi Lagti Ho ; 49
Bheegey Hont ; 58
Dil Laga Liya Maine ; 61
Jiya Dhadak Dhadak Jaye ; 61
Pehli Baar Mohabbat ; 52
Suna Suna ; 59
Hai Mera Dil ; 53
Ye Tumhari Meri Baatein ; 57
Mann Ki Lagan ; 55
Tauba Tumhare Ishare ; 59
Chori Chori ; 59
Wada Raha ; 54
Dil Leke ; 55
Ajj Din Chadheya ; 70
Yoon Shabnami ; 57
Chalte Chalte ; 54
Jaane Kyon Log Pyar ; 55
Roshni Se ; 47
Aa Bhi Ja Aa Bhi Ja - Sur (The Melody Of Life) / Soundtrack Version ; 52
Tere Naam ; 61
Sun Zara ; 51
Chup Chup Ke ; 39
Jaan Meri Ja Rahi Sanam ; 57
Naina ; 45